"Alue";"Tiedot";"2018"
"Uudenmaan maakunta";"Väestö 31.12.";1671024
"Varsinais-Suomen maakunta";"Väestö 31.12.";478582
"Satakunnan maakunta";"Väestö 31.12.";218624
"Kanta-Hämeen maakunta";"Väestö 31.12.";171364
"Pirkanmaan maakunta";"Väestö 31.12.";515095
"Päijät-Hämeen maakunta";"Väestö 31.12.";200629
"Kymenlaakson maakunta";"Väestö 31.12.";173388
"Etelä-Karjalan maakunta";"Väestö 31.12.";128756
"Etelä-Savon maakunta";"Väestö 31.12.";144615
"Pohjois-Savon maakunta";"Väestö 31.12.";245602
"Pohjois-Karjalan maakunta";"Väestö 31.12.";162240
"Keski-Suomen maakunta";"Väestö 31.12.";275521
"Etelä-Pohjanmaan maakunta";"Väestö 31.12.";189715
"Pohjanmaan maakunta";"Väestö 31.12.";180794
"Keski-Pohjanmaan maakunta";"Väestö 31.12.";68437
"Pohjois-Pohjanmaan maakunta";"Väestö 31.12.";412161
"Kainuun maakunta";"Väestö 31.12.";73061
"Lapin maakunta";"Väestö 31.12.";178522
"Ahvenanmaa";"Väestö 31.12.";29789
