"Alue";"Vuosi";"Yhteensä Yhteensä Väestö 31.12. (ennuste 2019)"
"Uudenmaan maakunta";"2040";1901907
"Varsinais-Suomen maakunta";"2040";484568
"Satakunnan maakunta";"2040";191403
"Kanta-Hämeen maakunta";"2040";153955
"Pirkanmaan maakunta";"2040";540430
"Päijät-Hämeen maakunta";"2040";185436
"Kymenlaakson maakunta";"2040";143661
"Etelä-Karjalan maakunta";"2040";112138
"Etelä-Savon maakunta";"2040";116522
"Pohjois-Savon maakunta";"2040";223779
"Pohjois-Karjalan maakunta";"2040";146164
"Keski-Suomen maakunta";"2040";262846
"Etelä-Pohjanmaan maakunta";"2040";169919
"Pohjanmaan maakunta";"2040";173709
"Keski-Pohjanmaan maakunta";"2040";63230
"Pohjois-Pohjanmaan maakunta";"2040";400792
"Kainuun maakunta";"2040";59196
"Lapin maakunta";"2040";161697
"Ahvenanmaa";"2040";34176
